Geography,Date,Initial Claims
"Henry County, IN",3/7/2020,10
"Henry County, IN",3/14/2020,14
"Henry County, IN",3/21/2020,318
"Henry County, IN",3/28/2020,859
"Henry County, IN",2/1/2020,20
"Henry County, IN",2/8/2020,20
"Henry County, IN",2/15/2020,12
"Henry County, IN",2/22/2020,14
"Henry County, IN",2/29/2020,14
"Henry County, IN",1/4/2020,28
"Henry County, IN",1/11/2020,30
"Henry County, IN",1/18/2020,21
"Henry County, IN",1/25/2020,25
