Geography,Date,Initial Claims
"Monroe County, IN",2020-03-07,21
"Monroe County, IN",2020-03-14,18
"Monroe County, IN",2020-03-21,934
"Monroe County, IN",2020-03-28,"1,627"
"Monroe County, IN",2020-02-01,21
"Monroe County, IN",2020-02-08,36
"Monroe County, IN",2020-02-15,22
"Monroe County, IN",2020-02-22,27
"Monroe County, IN",2020-02-29,16
"Monroe County, IN",2020-01-04,52
"Monroe County, IN",2020-01-11,54
"Monroe County, IN",2020-01-18,37
"Monroe County, IN",2020-01-25,34
