Geography,Date,Initial Claims
"Henry County, IN",2020-03-07,10
"Henry County, IN",2020-03-14,14
"Henry County, IN",2020-03-21,318
"Henry County, IN",2020-03-28,859
"Henry County, IN",2020-02-01,20
"Henry County, IN",2020-02-08,20
"Henry County, IN",2020-02-15,12
"Henry County, IN",2020-02-22,14
"Henry County, IN",2020-02-29,14
"Henry County, IN",2020-01-04,28
"Henry County, IN",2020-01-11,30
"Henry County, IN",2020-01-18,21
"Henry County, IN",2020-01-25,25
