Geography,Date,Initial Claims
"Marion County, IN",2020-03-07,298
"Marion County, IN",2020-03-14,425
"Marion County, IN",2020-03-21,"10,173"
"Marion County, IN",2020-03-28,"13,546"
"Marion County, IN",2020-02-01,416
"Marion County, IN",2020-02-08,410
"Marion County, IN",2020-02-15,382
"Marion County, IN",2020-02-22,348
"Marion County, IN",2020-02-29,324
"Marion County, IN",2020-01-04,453
"Marion County, IN",2020-01-11,591
"Marion County, IN",2020-01-18,468
"Marion County, IN",2020-01-25,420
