State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Indiana,2/2/2002,"7,982",1/26/2002,"85,959","2,867,645",3
Indiana,2/9/2002,"7,530",2/2/2002,"85,582","2,867,645",2.98
Indiana,2/16/2002,"6,499",2/9/2002,"85,722","2,867,645",2.99
Indiana,2/23/2002,"6,184",2/16/2002,"82,282","2,867,645",2.87
Indiana,3/2/2002,"6,799",2/23/2002,"82,136","2,867,645",2.86
Indiana,3/9/2002,"6,653",3/2/2002,"82,356","2,867,645",2.87
Indiana,3/16/2002,"5,787",3/9/2002,"80,054","2,867,645",2.79
Indiana,3/23/2002,"6,092",3/16/2002,"76,785","2,867,645",2.68
Indiana,3/30/2002,"5,467",3/23/2002,"71,544","2,867,645",2.49
Indiana,4/6/2002,"6,845",3/30/2002,"75,235","2,867,645",2.62
Indiana,4/13/2002,"6,751",4/6/2002,"71,073","2,852,105",2.49
Indiana,4/20/2002,"5,362",4/13/2002,"66,703","2,852,105",2.34
Indiana,4/27/2002,"5,346",4/20/2002,"64,122","2,852,105",2.25
Indiana,5/4/2002,"5,237",4/27/2002,"60,928","2,852,105",2.14
Indiana,5/11/2002,"6,756",5/4/2002,"58,056","2,852,105",2.04
Indiana,5/18/2002,"6,463",5/11/2002,"59,331","2,852,105",2.08
Indiana,5/25/2002,"5,577",5/18/2002,"57,623","2,852,105",2.02
Indiana,6/1/2002,"5,107",5/25/2002,"54,272","2,852,105",1.9
Indiana,6/8/2002,"5,941",6/1/2002,"55,317","2,852,105",1.94
Indiana,6/15/2002,"5,901",6/8/2002,"54,938","2,852,105",1.93
Indiana,6/22/2002,"6,564",6/15/2002,"54,697","2,852,105",1.92
Indiana,6/29/2002,"5,144",6/22/2002,"54,658","2,852,105",1.92
Indiana,7/6/2002,"12,753",6/29/2002,"50,592","2,852,105",1.77
Indiana,7/13/2002,"9,108",7/6/2002,"57,557","2,833,440",2.03
Indiana,7/20/2002,"5,757",7/13/2002,"59,008","2,833,440",2.08
Indiana,7/27/2002,"6,512",7/20/2002,"54,442","2,833,440",1.92
Indiana,8/3/2002,"5,285",7/27/2002,"53,111","2,833,440",1.87
Indiana,8/10/2002,"5,849",8/3/2002,"50,564","2,833,440",1.78
Indiana,8/17/2002,"5,117",8/10/2002,"50,656","2,833,440",1.79
Indiana,8/24/2002,"6,365",8/17/2002,"49,974","2,833,440",1.76
Indiana,8/31/2002,"5,381",8/24/2002,"49,403","2,833,440",1.74
Indiana,9/7/2002,"5,587",8/31/2002,"45,985","2,833,440",1.62
Indiana,9/14/2002,"5,304",9/7/2002,"47,767","2,833,440",1.69
Indiana,9/21/2002,"5,709",9/14/2002,"46,944","2,833,440",1.66
Indiana,9/28/2002,"5,166",9/21/2002,"47,488","2,833,440",1.68
Indiana,10/5/2002,"5,647",9/28/2002,"47,015","2,833,440",1.66
Indiana,10/12/2002,"6,726",10/5/2002,"47,018","2,817,266",1.67
Indiana,10/19/2002,"6,449",10/12/2002,"47,405","2,817,266",1.68
Indiana,10/26/2002,"6,501",10/19/2002,"50,426","2,817,266",1.79
Indiana,11/2/2002,"7,237",10/26/2002,"50,416","2,817,266",1.79
Indiana,11/9/2002,"6,833",11/2/2002,"51,089","2,817,266",1.81
Indiana,11/16/2002,"6,240",11/9/2002,"51,125","2,817,266",1.81
Indiana,11/23/2002,"7,324",11/16/2002,"53,659","2,817,266",1.9
Indiana,11/30/2002,"8,334",11/23/2002,"48,814","2,817,266",1.73
Indiana,12/7/2002,"10,438",11/30/2002,"61,281","2,817,266",2.18
Indiana,12/14/2002,"10,279",12/7/2002,"62,414","2,817,266",2.22
Indiana,12/21/2002,"11,417",12/14/2002,"64,451","2,817,266",2.29
Indiana,12/28/2002,"20,473",12/21/2002,"62,271","2,817,266",2.21
Indiana,1/4/2003,"12,798",12/28/2002,"76,763","2,817,266",2.72
Indiana,1/11/2003,"14,119",1/4/2003,"89,137","2,803,440",3.18
Indiana,1/18/2003,"10,201",1/11/2003,"84,610","2,803,440",3.02
Indiana,1/25/2003,"8,152",1/18/2003,"78,140","2,803,440",2.79
Indiana,2/1/2003,"8,475",1/25/2003,"80,549","2,803,440",2.87
Indiana,2/8/2003,"8,007",2/1/2003,"79,990","2,803,440",2.85
Indiana,2/15/2003,"7,533",2/8/2003,"79,851","2,803,440",2.85
Indiana,2/22/2003,"7,351",2/15/2003,"79,539","2,803,440",2.84
Indiana,3/1/2003,"7,656",2/22/2003,"81,223","2,803,440",2.9
Indiana,3/8/2003,"7,815",3/1/2003,"81,078","2,803,440",2.89
Indiana,3/15/2003,"7,267",3/8/2003,"79,918","2,803,440",2.85
Indiana,3/22/2003,"8,038",3/15/2003,"77,059","2,803,440",2.75
Indiana,3/29/2003,"8,316",3/22/2003,"75,909","2,803,440",2.71
Indiana,4/5/2003,"7,372",3/29/2003,"72,952","2,803,440",2.6
Indiana,4/12/2003,"9,820",4/5/2003,"67,807","2,796,807",2.42
Indiana,4/19/2003,"5,701",4/12/2003,"64,564","2,796,807",2.31
Indiana,4/26/2003,"7,921",4/19/2003,"65,507","2,796,807",2.34
Indiana,5/3/2003,"6,456",4/26/2003,"63,578","2,796,807",2.27
Indiana,5/10/2003,"6,248",5/3/2003,"61,168","2,796,807",2.19
Indiana,5/17/2003,"6,775",5/10/2003,"60,509","2,796,807",2.16
Indiana,5/24/2003,"8,125",5/17/2003,"60,087","2,796,807",2.15
Indiana,5/31/2003,"6,266",5/24/2003,"60,374","2,796,807",2.16
Indiana,6/7/2003,"7,272",5/31/2003,"61,660","2,796,807",2.2
Indiana,6/14/2003,"6,701",6/7/2003,"61,171","2,796,807",2.19
Indiana,6/21/2003,"6,389",6/14/2003,"61,824","2,796,807",2.21
Indiana,6/28/2003,"6,817",6/21/2003,"61,283","2,796,807",2.19
Indiana,7/5/2003,"15,838",6/28/2003,"58,628","2,796,807",2.1
Indiana,7/12/2003,"18,146",7/5/2003,"68,398","2,795,967",2.45
Indiana,7/19/2003,"8,190",7/12/2003,"76,228","2,795,967",2.73
Indiana,7/26/2003,"6,350",7/19/2003,"66,670","2,795,967",2.38
Indiana,8/2/2003,"5,999",7/26/2003,"63,327","2,795,967",2.26
Indiana,8/9/2003,"7,637",8/2/2003,"60,595","2,795,967",2.17
Indiana,8/16/2003,"5,550",8/9/2003,"61,564","2,795,967",2.2
Indiana,8/23/2003,"6,247",8/16/2003,"60,037","2,795,967",2.15
Indiana,8/30/2003,"6,504",8/23/2003,"57,740","2,795,967",2.07
Indiana,9/6/2003,"5,480",8/30/2003,"54,270","2,795,967",1.94
Indiana,9/13/2003,"5,711",9/6/2003,"56,079","2,795,967",2.01
Indiana,9/20/2003,"5,531",9/13/2003,"54,975","2,795,967",1.97
Indiana,9/27/2003,"5,248",9/20/2003,"53,419","2,795,967",1.91
Indiana,10/4/2003,"5,688",9/27/2003,"52,385","2,795,967",1.87
Indiana,10/11/2003,"6,815",10/4/2003,"51,185","2,795,189",1.83
Indiana,10/18/2003,"5,693",10/11/2003,"51,122","2,795,189",1.83
Indiana,10/25/2003,"5,713",10/18/2003,"51,588","2,795,189",1.85
Indiana,11/1/2003,"6,247",10/25/2003,"51,808","2,795,189",1.85
Indiana,11/8/2003,"6,778",11/1/2003,"51,420","2,795,189",1.84
Indiana,11/15/2003,"6,721",11/8/2003,"51,654","2,795,189",1.85
Indiana,11/22/2003,"7,386",11/15/2003,"53,635","2,795,189",1.92
Indiana,11/29/2003,"8,793",11/22/2003,"49,104","2,795,189",1.76
Indiana,12/6/2003,"9,442",11/29/2003,"61,673","2,795,189",2.21
Indiana,12/13/2003,"8,143",12/6/2003,"60,970","2,795,189",2.18
Indiana,12/20/2003,"15,407",12/13/2003,"60,748","2,795,189",2.17
Indiana,12/27/2003,"19,342",12/20/2003,"61,654","2,795,189",2.21
Indiana,1/3/2004,"16,383",12/27/2003,"79,718","2,795,189",2.85
Indiana,1/10/2004,"15,091",1/3/2004,"87,000","2,792,836",3.12
Indiana,1/17/2004,"9,330",1/10/2004,"82,572","2,792,836",2.96
Indiana,1/24/2004,"7,910",1/17/2004,"76,315","2,792,836",2.73
Indiana,1/31/2004,"9,071",1/24/2004,"76,085","2,792,836",2.72
Indiana,2/7/2004,"8,209",1/31/2004,"79,291","2,792,836",2.84
Indiana,2/14/2004,"6,785",2/7/2004,"78,743","2,792,836",2.82
Indiana,2/21/2004,"6,338",2/14/2004,"74,937","2,792,836",2.68
Indiana,2/28/2004,"6,438",2/21/2004,"74,450","2,792,836",2.67
Indiana,3/6/2004,"6,261",2/28/2004,"73,335","2,792,836",2.63
Indiana,3/13/2004,"6,055",3/6/2004,"71,391","2,792,836",2.56
Indiana,3/20/2004,"6,721",3/13/2004,"67,783","2,792,836",2.43
Indiana,3/27/2004,"5,702",3/20/2004,"65,914","2,792,836",2.36
Indiana,4/3/2004,"5,686",3/27/2004,"62,323","2,792,836",2.23
Indiana,4/10/2004,"5,582",4/3/2004,"56,833","2,787,566",2.04
Indiana,4/17/2004,"5,648",4/10/2004,"56,084","2,787,566",2.01
Indiana,4/24/2004,"5,337",4/17/2004,"53,346","2,787,566",1.91
Indiana,5/1/2004,"5,188",4/24/2004,"51,557","2,787,566",1.85
Indiana,5/8/2004,"5,068",5/1/2004,"48,706","2,787,566",1.75
Indiana,5/15/2004,"5,995",5/8/2004,"48,685","2,787,566",1.75
Indiana,5/22/2004,"5,634",5/15/2004,"48,044","2,787,566",1.72
Indiana,5/29/2004,"5,989",5/22/2004,"48,102","2,787,566",1.73
Indiana,6/5/2004,"6,205",5/29/2004,"46,214","2,787,566",1.66
Indiana,6/12/2004,"6,184",6/5/2004,"48,494","2,787,566",1.74
Indiana,6/19/2004,"6,110",6/12/2004,"49,623","2,787,566",1.78
Indiana,6/26/2004,"5,208",6/19/2004,"50,104","2,787,566",1.8
Indiana,7/3/2004,"7,640",6/26/2004,"48,182","2,787,566",1.73
Indiana,7/10/2004,"16,328",7/3/2004,"47,856","2,785,756",1.72
Indiana,7/17/2004,"14,363",7/10/2004,"55,941","2,785,756",2.01
Indiana,7/24/2004,"6,698",7/17/2004,"61,376","2,785,756",2.2
Indiana,7/31/2004,"5,786",7/24/2004,"52,401","2,785,756",1.88
Indiana,8/7/2004,"5,837",7/31/2004,"50,018","2,785,756",1.8
Indiana,8/14/2004,"5,249",8/7/2004,"48,583","2,785,756",1.74
Indiana,8/21/2004,"6,122",8/14/2004,"47,993","2,785,756",1.72
Indiana,8/28/2004,"5,831",8/21/2004,"47,182","2,785,756",1.69
Indiana,9/4/2004,"5,361",8/28/2004,"45,585","2,785,756",1.64
Indiana,9/11/2004,"5,904",9/4/2004,"43,081","2,785,756",1.55
Indiana,9/18/2004,"5,090",9/11/2004,"45,142","2,785,756",1.62
Indiana,9/25/2004,"7,254",9/18/2004,"43,635","2,785,756",1.57
Indiana,10/2/2004,"5,614",9/25/2004,"45,206","2,785,756",1.62
Indiana,10/9/2004,"6,687",10/2/2004,"42,792","2,787,592",1.54
Indiana,10/16/2004,"6,843",10/9/2004,"42,682","2,787,592",1.53
Indiana,10/23/2004,"6,645",10/16/2004,"45,205","2,787,592",1.62
Indiana,10/30/2004,"6,149",10/23/2004,"45,452","2,787,592",1.63
Indiana,11/6/2004,"8,715",10/30/2004,"45,021","2,787,592",1.62
Indiana,11/13/2004,"6,314",11/6/2004,"47,352","2,787,592",1.7
Indiana,11/20/2004,"7,341",11/13/2004,"48,009","2,787,592",1.72
Indiana,11/27/2004,"9,636",11/20/2004,"44,403","2,787,592",1.59
Indiana,12/4/2004,"9,443",11/27/2004,"56,928","2,787,592",2.04
Indiana,12/11/2004,"8,335",12/4/2004,"55,337","2,787,592",1.99
Indiana,12/18/2004,"8,841",12/11/2004,"55,116","2,787,592",1.98
Indiana,12/25/2004,"17,866",12/18/2004,"54,625","2,787,592",1.96
Indiana,1/1/2005,"18,770",12/25/2004,"64,998","2,787,592",2.33
Indiana,1/8/2005,"18,878",1/1/2005,"80,869","2,795,468",2.89
Indiana,1/15/2005,"10,631",1/8/2005,"83,984","2,795,468",3
Indiana,1/22/2005,"8,489",1/15/2005,"76,170","2,795,468",2.72
Indiana,1/29/2005,"8,957",1/22/2005,"75,879","2,795,468",2.71
Indiana,2/5/2005,"7,050",1/29/2005,"74,640","2,795,468",2.67
Indiana,2/12/2005,"6,892",2/5/2005,"71,689","2,795,468",2.56
Indiana,2/19/2005,"6,300",2/12/2005,"72,651","2,795,468",2.6
Indiana,2/26/2005,"5,695",2/19/2005,"70,381","2,795,468",2.52
Indiana,3/5/2005,"6,591",2/26/2005,"69,460","2,795,468",2.48
Indiana,3/12/2005,"6,438",3/5/2005,"68,576","2,795,468",2.45
Indiana,3/19/2005,"5,967",3/12/2005,"66,575","2,795,468",2.38
Indiana,3/26/2005,"5,610",3/19/2005,"60,990","2,795,468",2.18
Indiana,4/2/2005,"5,965",3/26/2005,"62,005","2,795,468",2.22
Indiana,4/9/2005,"7,272",4/2/2005,"57,257","2,804,210",2.04
Indiana,4/16/2005,"5,570",4/9/2005,"54,385","2,804,210",1.94
Indiana,4/23/2005,"5,730",4/16/2005,"51,213","2,804,210",1.83
Indiana,4/30/2005,"6,206",4/23/2005,"49,525","2,804,210",1.77
Indiana,5/7/2005,"5,958",4/30/2005,"48,918","2,804,210",1.74
Indiana,5/14/2005,"6,065",5/7/2005,"47,370","2,804,210",1.69
Indiana,5/21/2005,"5,791",5/14/2005,"47,371","2,804,210",1.69
Indiana,5/28/2005,"6,411",5/21/2005,"47,288","2,804,210",1.69
Indiana,6/4/2005,"8,067",5/28/2005,"46,306","2,804,210",1.65
Indiana,6/11/2005,"6,386",6/4/2005,"49,160","2,804,210",1.75
Indiana,6/18/2005,"5,800",6/11/2005,"49,342","2,804,210",1.76
Indiana,6/25/2005,"6,143",6/18/2005,"48,821","2,804,210",1.74
Indiana,7/2/2005,"8,601",6/25/2005,"48,268","2,804,210",1.72
Indiana,7/9/2005,"17,323",7/2/2005,"47,819","2,812,079",1.7
Indiana,7/16/2005,"9,396",7/9/2005,"57,826","2,812,079",2.06
Indiana,7/23/2005,"6,345",7/16/2005,"58,895","2,812,079",2.09
Indiana,7/30/2005,"5,382",7/23/2005,"52,604","2,812,079",1.87
Indiana,8/6/2005,"5,682",7/30/2005,"49,368","2,812,079",1.76
Indiana,8/13/2005,"5,010",8/6/2005,"48,495","2,812,079",1.72
Indiana,8/20/2005,"5,478",8/13/2005,"47,671","2,812,079",1.7
Indiana,8/27/2005,"5,360",8/20/2005,"46,438","2,812,079",1.65
Indiana,9/3/2005,"5,118",8/27/2005,"45,018","2,812,079",1.6
Indiana,9/10/2005,"4,743",9/3/2005,"42,892","2,812,079",1.53
Indiana,9/17/2005,"4,915",9/10/2005,"43,613","2,812,079",1.55
Indiana,9/24/2005,"4,970",9/17/2005,"42,662","2,812,079",1.52
Indiana,10/1/2005,"5,689",9/24/2005,"42,420","2,812,079",1.51
Indiana,10/8/2005,"6,188",10/1/2005,"41,966","2,820,565",1.49
Indiana,10/15/2005,"6,064",10/8/2005,"40,664","2,820,565",1.44
Indiana,10/22/2005,"6,885",10/15/2005,"42,201","2,820,565",1.5
Indiana,10/29/2005,"6,036",10/22/2005,"43,045","2,820,565",1.53
Indiana,11/5/2005,"6,369",10/29/2005,"41,520","2,820,565",1.47
Indiana,11/12/2005,"5,349",11/5/2005,"41,636","2,820,565",1.48
Indiana,11/19/2005,"7,944",11/12/2005,"43,998","2,820,565",1.56
Indiana,11/26/2005,"6,222",11/19/2005,"40,725","2,820,565",1.44
Indiana,12/3/2005,"10,550",11/26/2005,"49,435","2,820,565",1.75
Indiana,12/10/2005,"11,006",12/3/2005,"50,453","2,820,565",1.79
Indiana,12/17/2005,"9,921",12/10/2005,"53,695","2,820,565",1.9
Indiana,12/24/2005,"14,049",12/17/2005,"55,129","2,820,565",1.95
Indiana,12/31/2005,"16,130",12/24/2005,"63,219","2,820,565",2.24
Indiana,1/7/2006,"14,090",12/31/2005,"70,811","2,820,565",2.51
Indiana,1/14/2006,"10,428",1/7/2006,"72,109","2,826,272",2.55
Indiana,1/21/2006,"7,777",1/14/2006,"68,634","2,826,272",2.43
Indiana,1/28/2006,"7,756",1/21/2006,"70,356","2,826,272",2.49
Indiana,2/4/2006,"8,445",1/28/2006,"69,638","2,826,272",2.46
Indiana,2/11/2006,"9,124",2/4/2006,"69,685","2,826,272",2.47
Indiana,2/18/2006,"6,650",2/11/2006,"72,486","2,826,272",2.56
Indiana,2/25/2006,"5,900",2/18/2006,"69,744","2,826,272",2.47
Indiana,3/4/2006,"6,034",2/25/2006,"66,145","2,826,272",2.34
Indiana,3/11/2006,"6,407",3/4/2006,"66,134","2,826,272",2.34
Indiana,3/18/2006,"5,874",3/11/2006,"63,958","2,826,272",2.26
Indiana,3/25/2006,"6,563",3/18/2006,"63,313","2,826,272",2.24
Indiana,4/1/2006,"5,684",3/25/2006,"59,373","2,826,272",2.1
Indiana,4/8/2006,"7,757",4/1/2006,"56,416","2,826,272",2
Indiana,4/15/2006,"4,505",4/8/2006,"53,514","2,831,490",1.89
Indiana,4/22/2006,"5,843",4/15/2006,"51,528","2,831,490",1.82
Indiana,4/29/2006,"5,141",4/22/2006,"49,599","2,831,490",1.75
Indiana,5/6/2006,"5,169",4/29/2006,"46,632","2,831,490",1.65
Indiana,5/13/2006,"8,120",5/6/2006,"45,855","2,831,490",1.62
Indiana,5/20/2006,"6,471",5/13/2006,"47,921","2,831,490",1.69
Indiana,5/27/2006,"5,946",5/20/2006,"47,581","2,831,490",1.68
Indiana,6/3/2006,"5,951",5/27/2006,"44,600","2,831,490",1.58
Indiana,6/10/2006,"6,437",6/3/2006,"46,013","2,831,490",1.63
Indiana,6/17/2006,"6,032",6/10/2006,"46,507","2,831,490",1.64
Indiana,6/24/2006,"5,296",6/17/2006,"46,831","2,831,490",1.65
Indiana,7/1/2006,"9,250",6/24/2006,"47,266","2,831,490",1.67
Indiana,7/8/2006,"14,394",7/1/2006,"46,569","2,831,490",1.64
Indiana,7/15/2006,"12,621",7/8/2006,"56,440","2,831,490",1.99
Indiana,7/22/2006,"6,551",7/15/2006,"58,114","2,831,490",2.05
Indiana,7/29/2006,"5,663",7/22/2006,"51,799","2,831,490",1.83
Indiana,8/5/2006,"7,146",7/29/2006,"50,720","2,831,490",1.79
Indiana,8/12/2006,"5,216",8/5/2006,"49,595","2,831,490",1.75
Indiana,8/19/2006,"5,890",8/12/2006,"47,919","2,831,490",1.69
Indiana,8/26/2006,"5,918",8/19/2006,"45,131","2,831,490",1.59
Indiana,9/2/2006,"7,506",8/26/2006,"44,595","2,831,490",1.57
Indiana,9/9/2006,"5,849",9/2/2006,"43,109","2,837,455",1.52
Indiana,9/16/2006,"6,117",9/9/2006,"44,487","2,837,455",1.57
Indiana,9/23/2006,"6,172",9/16/2006,"43,084","2,837,455",1.52
Indiana,9/30/2006,"8,026",9/23/2006,"43,025","2,837,455",1.52
Indiana,10/7/2006,"7,720",9/30/2006,"44,063","2,837,455",1.55
Indiana,10/14/2006,"5,893",10/7/2006,"44,419","2,837,455",1.57
Indiana,10/21/2006,"7,961",10/14/2006,"44,276","2,837,455",1.56
Indiana,10/28/2006,"8,460",10/21/2006,"46,613","2,837,455",1.64
Indiana,11/4/2006,"7,263",10/28/2006,"48,859","2,837,455",1.72
Indiana,11/11/2006,"5,893",11/4/2006,"45,021","2,837,455",1.59
Indiana,11/18/2006,"9,156",11/11/2006,"47,508","2,837,455",1.67
Indiana,11/25/2006,"10,998",11/18/2006,"44,687","2,837,455",1.57
Indiana,12/2/2006,"10,864",11/25/2006,"55,677","2,837,455",1.96
Indiana,12/9/2006,"11,804",12/2/2006,"53,251","2,837,455",1.88
Indiana,12/16/2006,"7,658",12/9/2006,"58,002","2,837,455",2.04
Indiana,12/23/2006,"17,202",12/16/2006,"58,905","2,837,455",2.08
Indiana,12/30/2006,"15,950",12/23/2006,"64,712","2,837,455",2.28
Indiana,1/6/2007,"12,878",12/30/2006,"73,980","2,837,455",2.61
Indiana,1/13/2007,"12,844",1/6/2007,"77,269","2,837,455",2.72
Indiana,1/20/2007,"9,259",1/13/2007,"73,835","2,837,455",2.6
Indiana,1/27/2007,"9,211",1/20/2007,"75,884","2,837,455",2.67
Indiana,2/3/2007,"8,434",1/27/2007,"74,749","2,837,455",2.63
Indiana,2/10/2007,"9,359",2/3/2007,"75,039","2,874,469",2.61
Indiana,2/17/2007,"7,403",2/10/2007,"73,957","2,874,469",2.57
Indiana,2/24/2007,"8,889",2/17/2007,"76,471","2,874,469",2.66
Indiana,3/3/2007,"6,803",2/24/2007,"76,188","2,874,469",2.65
Indiana,3/10/2007,"6,232",3/3/2007,"72,202","2,874,469",2.51
Indiana,3/17/2007,"5,641",3/10/2007,"70,201","2,874,469",2.44
Indiana,3/24/2007,"6,856",3/17/2007,"66,093","2,874,469",2.3
Indiana,3/31/2007,"6,106",3/24/2007,"64,916","2,874,469",2.26
Indiana,4/7/2007,"6,086",3/31/2007,"58,994","2,874,469",2.05
Indiana,4/14/2007,"7,502",4/7/2007,"58,726","2,874,469",2.04
Indiana,4/21/2007,"5,697",4/14/2007,"56,849","2,874,469",1.98
Indiana,4/28/2007,"5,192",4/21/2007,"52,628","2,874,469",1.83
Indiana,5/5/2007,"5,489",4/28/2007,"51,930","2,874,469",1.81
Indiana,5/12/2007,"5,597",5/5/2007,"47,859","2,874,469",1.66
Indiana,5/19/2007,"5,446",5/12/2007,"47,687","2,874,469",1.66
Indiana,5/26/2007,"6,448",5/19/2007,"47,345","2,874,469",1.65
Indiana,6/2/2007,"5,842",5/26/2007,"47,236","2,874,469",1.64
Indiana,6/9/2007,"6,575",6/2/2007,"48,178","2,874,469",1.68
Indiana,6/16/2007,"5,711",6/9/2007,"48,747","2,874,469",1.7
Indiana,6/23/2007,"5,711",6/16/2007,"47,727","2,874,469",1.66
Indiana,6/30/2007,"7,699",6/23/2007,"47,986","2,874,469",1.67
Indiana,7/7/2007,"13,554",6/30/2007,"47,103","2,874,469",1.64
Indiana,7/14/2007,"9,032",7/7/2007,"56,447","2,874,469",1.96
Indiana,7/21/2007,"6,644",7/14/2007,"52,758","2,874,469",1.84
Indiana,7/28/2007,"5,583",7/21/2007,"49,726","2,874,469",1.73
Indiana,8/4/2007,"5,887",7/28/2007,"48,264","2,874,469",1.68
Indiana,8/11/2007,"6,083",8/4/2007,"47,410","2,874,469",1.65
Indiana,8/18/2007,"5,784",8/11/2007,"47,175","2,874,469",1.64
Indiana,8/25/2007,"5,695",8/18/2007,"45,760","2,886,668",1.59
Indiana,9/1/2007,"5,396",8/25/2007,"44,100","2,886,668",1.53
Indiana,9/8/2007,"5,235",9/1/2007,"42,431","2,886,668",1.47
Indiana,9/15/2007,"6,764",9/8/2007,"43,282","2,886,668",1.5
Indiana,9/22/2007,"5,353",9/15/2007,"44,211","2,886,668",1.53
Indiana,9/29/2007,"7,281",9/22/2007,"42,162","2,886,668",1.46
Indiana,10/6/2007,"7,142",9/29/2007,"42,428","2,886,668",1.47
Indiana,10/13/2007,"7,527",10/6/2007,"40,930","2,886,668",1.42
Indiana,10/20/2007,"8,435",10/13/2007,"43,382","2,886,668",1.5
Indiana,10/27/2007,"7,024",10/20/2007,"45,166","2,886,668",1.56
Indiana,11/3/2007,"7,769",10/27/2007,"43,609","2,886,668",1.51
Indiana,11/10/2007,"7,841",11/3/2007,"43,884","2,886,668",1.52
Indiana,11/17/2007,"7,665",11/10/2007,"46,313","2,886,668",1.6
Indiana,11/24/2007,"9,725",11/17/2007,"42,744","2,886,668",1.48
Indiana,12/1/2007,"12,048",11/24/2007,"55,563","2,886,668",1.92
Indiana,12/8/2007,"10,740",12/1/2007,"56,153","2,886,668",1.95
Indiana,12/15/2007,"11,500",12/8/2007,"56,165","2,886,668",1.95
Indiana,12/22/2007,"16,254",12/15/2007,"60,699","2,886,668",2.1
Indiana,12/29/2007,"17,366",12/22/2007,"64,793","2,886,668",2.24
Indiana,1/5/2008,"13,840",12/29/2007,"76,941","2,886,668",2.67
Indiana,1/12/2008,"16,108",1/5/2008,"80,770","2,886,668",2.8
Indiana,1/19/2008,"10,851",1/12/2008,"79,649","2,886,668",2.76
Indiana,1/26/2008,"9,096",1/19/2008,"75,981","2,886,668",2.63
Indiana,2/2/2008,"9,576",1/26/2008,"76,999","2,886,668",2.67
Indiana,2/9/2008,"9,200",2/2/2008,"77,912","2,886,668",2.7
Indiana,2/16/2008,"8,545",2/9/2008,"79,214","2,886,668",2.74
Indiana,2/23/2008,"7,249",2/16/2008,"79,907","2,886,668",2.77
Indiana,3/1/2008,"7,611",2/23/2008,"78,763","2,886,668",2.73
Indiana,3/8/2008,"9,769",3/1/2008,"77,411","2,886,668",2.68
Indiana,3/15/2008,"8,855",3/8/2008,"77,003","2,886,668",2.67
Indiana,3/22/2008,"6,642",3/15/2008,"76,324","2,886,668",2.64
Indiana,3/29/2008,"10,394",3/22/2008,"75,125","2,886,668",2.6
Indiana,4/5/2008,"9,571",3/29/2008,"74,304","2,886,668",2.57
Indiana,4/12/2008,"9,711",4/5/2008,"70,563","2,866,705",2.46
Indiana,4/19/2008,"7,401",4/12/2008,"67,561","2,866,705",2.36
Indiana,4/26/2008,"7,732",4/19/2008,"60,955","2,866,705",2.13
Indiana,5/3/2008,"7,855",4/26/2008,"60,286","2,866,705",2.1
Indiana,5/10/2008,"6,959",5/3/2008,"58,002","2,866,705",2.02
Indiana,5/17/2008,"7,878",5/10/2008,"58,079","2,866,705",2.03
Indiana,5/24/2008,"7,776",5/17/2008,"57,114","2,866,705",1.99
Indiana,5/31/2008,"8,276",5/24/2008,"55,989","2,866,705",1.95
Indiana,6/7/2008,"9,362",5/31/2008,"58,179","2,866,705",2.03
Indiana,6/14/2008,"7,948",6/7/2008,"58,482","2,866,705",2.04
Indiana,6/21/2008,"7,456",6/14/2008,"58,635","2,866,705",2.05
Indiana,6/28/2008,"10,769",6/21/2008,"58,778","2,866,705",2.05
Indiana,7/5/2008,"14,480",6/28/2008,"60,564","2,866,705",2.11
Indiana,7/12/2008,"17,072",7/5/2008,"68,623","2,869,323",2.39
Indiana,7/19/2008,"14,087",7/12/2008,"73,248","2,869,323",2.55
Indiana,7/26/2008,"10,295",7/19/2008,"69,977","2,869,323",2.44
Indiana,8/2/2008,"8,915",7/26/2008,"66,072","2,869,323",2.3
Indiana,8/9/2008,"8,949",8/2/2008,"64,709","2,869,323",2.26
Indiana,8/16/2008,"9,006",8/9/2008,"65,075","2,869,323",2.27
Indiana,8/23/2008,"9,242",8/16/2008,"63,487","2,869,323",2.21
Indiana,8/30/2008,"10,974",8/23/2008,"64,267","2,869,323",2.24
Indiana,9/6/2008,"9,446",8/30/2008,"64,946","2,869,323",2.26
Indiana,9/13/2008,"8,938",9/6/2008,"64,662","2,869,323",2.25
Indiana,9/20/2008,"8,595",9/13/2008,"63,640","2,869,323",2.22
Indiana,9/27/2008,"9,237",9/20/2008,"64,018","2,869,323",2.23
Indiana,10/4/2008,"11,083",9/27/2008,"65,563","2,869,323",2.28
Indiana,10/11/2008,"11,224",10/4/2008,"67,716","2,808,765",2.41
Indiana,10/18/2008,"12,521",10/11/2008,"67,550","2,808,765",2.4
Indiana,10/25/2008,"13,033",10/18/2008,"69,046","2,808,765",2.46
Indiana,11/1/2008,"12,412",10/25/2008,"73,396","2,808,765",2.61
Indiana,11/8/2008,"13,533",11/1/2008,"75,004","2,808,765",2.67
Indiana,11/15/2008,"15,082",11/8/2008,"77,947","2,808,765",2.78
Indiana,11/22/2008,"21,583",11/15/2008,"84,289","2,808,765",3
Indiana,11/29/2008,"20,650",11/22/2008,"90,284","2,808,765",3.21
